Order1	OTU_names	Sgenus	Good_ClassComp	Good_Class	Genus
91	59e15ce6fd888c875cab9d8b2a22b9a9	Atopobium	Atopobium_parvulum	Atopobium_parvulum	Atopobium
92	75627e3b000529f8e60ba730ef57f867	Enterorhabdus	Enterorhabdus	Enterorhabdus	Enterorhabdus
93	0f15a7c32f33453e8e24ba8c17193a2a	Campylobacter	Campylobacter_hominis	Campylobacter_hominis	Campylobacter
94	9423a592c504cc78c0b13ff1543a6cfe	Campylobacter	Campylobacter_hominis	Campylobacter_hominis	Campylobacter
95	71c9c60c7b736ce751e72a744702a09b	Campylobacter	Campylobacter_ureolyticus_Campylobacter_showae_or_Bacteroides_ureolyticus	Campylobacter_ureolyticus*	Campylobacter
96	bdabd10ff749b7daa8943f8c5f96e7e0	Sneathia	Sneathia_amnii_or_Sneathia_sanguinegens	Sneathia_amnii*	Sneathia
97	3cd4b358c032e3839b289264811ca935	Sneathia	Sneathia_sanguinegens_or_Leptotrichia_sanguinegens	Sneathia_sanguinegens*	Sneathia
98	c96ce69cd194d3f083fc3d3fcd0186e0	Fusobacterium	Fusobacterium_nucleatum	Fusobacterium_nucleatum	Fusobacterium
99	41f5a1637f2ab344f71c4d2ff14ce4a2	Ureaplasma	Ureaplasma_urealyticum_or_Ureaplasma_parvum	Ureaplasma_urealyticum*	Ureaplasma
100	8c858b233888eeeea1293f40704d8315	Proteus	Proteus_mirabilis_Proteus_penneri_Proteus_vulgaris_or_Proteus_cibarius	Proteus_penneri*	Proteus
101	6e37ae39569a812f7c984ba534ac91de	Escherichia-Shigella	Escherichia_coli_or_Shigella_flexneri	Escherichia-Shigella	Escherichia-Shigella
102	7d35d4541ed0fb016dad07caad37f556	<NA>	Klebsiella_pneumoniae_Enterobacter_ludwigii_Enterobacter_hormaechei_Enterobacter_cloacae_or_Leclercia_adecarboxylata	Klebsiella_pneumoniae*	Klebsiella
103	f0bc2488a11cff657a430d986e5b7c15	Streptococcus	Streptococcus_agalactiae	Streptococcus_agalactiae	Streptococcus
104	5945608ce1a916c2b42a3b59cc630a33	Streptococcus	Streptococcus_mitis_Streptococcus_oralis_Streptococcus_sanguinis_Streptococcus_timonensis_Streptococcus_infantis_Streptococcus_pseudopneumoniae	Streptococcus_mitis*	Streptococcus
